fips_code,county_name,state_alpha,cbsa_code,table_id,variable,universe,ami_bracket,tenure,household_type,cost_burden,housing_problems,value,vintage
21067,Fayette County,KY,30460,Table9,T9_est1,occupied_housing_units,le_30_pct_ami,renter,all_types,le_30_pct,all_conditions,520,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est2,occupied_housing_units,le_30_pct_ami,renter,all_types,gt_30_le_50_pct,all_conditions,2820,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est3,occupied_housing_units,le_30_pct_ami,renter,all_types,gt_50_pct,all_conditions,13910,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est4,occupied_housing_units,le_30_pct_ami,owner,all_types,le_30_pct,all_conditions,450,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est5,occupied_housing_units,le_30_pct_ami,owner,all_types,gt_30_le_50_pct,all_conditions,620,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est6,occupied_housing_units,le_30_pct_ami,owner,all_types,gt_50_pct,all_conditions,3020,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est7,occupied_housing_units,gt_30_le_50_pct_ami,renter,all_types,le_30_pct,all_conditions,2340,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est8,occupied_housing_units,gt_30_le_50_pct_ami,renter,all_types,gt_30_le_50_pct,all_conditions,5460,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est9,occupied_housing_units,gt_30_le_50_pct_ami,renter,all_types,gt_50_pct,all_conditions,4120,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est10,occupied_housing_units,gt_30_le_50_pct_ami,owner,all_types,le_30_pct,all_conditions,1980,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est11,occupied_housing_units,gt_30_le_50_pct_ami,owner,all_types,gt_30_le_50_pct,all_conditions,1820,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est12,occupied_housing_units,gt_30_le_50_pct_ami,owner,all_types,gt_50_pct,all_conditions,1150,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est13,occupied_housing_units,gt_50_le_80_pct_ami,renter,all_types,le_30_pct,all_conditions,4920,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est14,occupied_housing_units,gt_50_le_80_pct_ami,renter,all_types,gt_30_le_50_pct,all_conditions,6480,2018-2022
21067,Fayette County,KY,30460,Table9,T9_est15,occupied_housing_units,gt_50_le_80_pct_ami,renter,all_types,gt_50_pct,all_conditions,1840,2018-2022
