USPS|GEOID|GEOIDFQ|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
AL|01001|620L900US01001|State House District 1|906847459|49076749|350.136|18.949|34.944345|-87.810394
AL|01002|620L900US01002|State House District 2|1170980955|116433007|452.118|44.955|34.86308|-87.245293
AL|01003|620L900US01003|State House District 3|352106022|28583926|135.949|11.036|34.776431|-87.762492
AL|01004|620L900US01004|State House District 4|406597628|45840083|156.988|17.699|34.590766|-86.872384
AL|01005|620L900US01005|State House District 5|499362291|30545478|192.805|11.794|34.815977|-86.934487
AL|01006|620L900US01006|State House District 6|376373765|1676077|145.319|0.647|34.901105|-86.761309
AL|01007|620L900US01007|State House District 7|2158074356|106727033|833.237|41.208|34.550681|-87.333734
AL|01008|620L900US01008|State House District 8|244914622|2246049|94.562|0.867|34.446178|-87.076989
AL|01009|620L900US01009|State House District 9|1032736645|16953438|398.742|6.546|34.419399|-86.782893
AL|01010|620L900US01010|State House District 10|262927646|14750770|101.517|5.695|34.637499|-86.679468
AL|01011|620L900US01011|State House District 11|1248610494|11878822|482.091|4.586|34.160105|-86.611793
AL|01012|620L900US01012|State House District 12|1041353786|42989643|402.069|16.598|34.074386|-86.949927
AL|01013|620L900US01013|State House District 13|1068669113|17522023|412.615|6.765|33.865483|-87.236009
AL|01014|620L900US01014|State House District 14|2783231121|69118506|1074.612|26.687|33.996522|-87.328029
AL|01015|620L900US01015|State House District 15|243389233|3153523|93.973|1.218|33.308372|-86.98345
AL|01016|620L900US01016|State House District 16|3508438749|63268483|1354.616|24.428|33.562296|-87.511179
AL|01017|620L900US01017|State House District 17|3530519158|5033600|1363.141|1.943|33.976853|-87.991871
AL|01018|620L900US01018|State House District 18|2727869474|80284197|1053.236|30.998|34.540704|-87.873754
AL|01019|620L900US01019|State House District 19|164019412|360263|63.328|0.139|34.825969|-86.653705
AL|01020|620L900US01020|State House District 20|167300684|2919151|64.595|1.127|34.654154|-86.526262
AL|01021|620L900US01021|State House District 21|235868287|1013782|91.069|0.391|34.868478|-86.561851
AL|01022|620L900US01022|State House District 22|1209349046|8901312|466.932|3.437|34.751115|-86.381392
AL|01023|620L900US01023|State House District 23|2439055350|125019053|941.725|48.27|34.781574|-85.95233
AL|01024|620L900US01024|State House District 24|1312677247|3095404|506.828|1.195|34.538911|-85.728542
AL|01025|620L900US01025|State House District 25|95739395|566126|36.965|0.219|34.745832|-86.72851
AL|01026|620L900US01026|State House District 26|412909931|2689352|159.425|1.038|34.231058|-86.236723
AL|01027|620L900US01027|State House District 27|1052644035|145786139|406.428|56.288|34.411479|-86.331263
AL|01028|620L900US01028|State House District 28|302090545|7072229|116.638|2.731|33.991143|-86.095618
AL|01029|620L900US01029|State House District 29|1227305789|15411854|473.865|5.951|33.978835|-85.884568
AL|01030|620L900US01030|State House District 30|1180925229|40841704|455.958|15.769|33.900756|-86.201083
AL|01031|620L900US01031|State House District 31|1097602469|86310052|423.787|33.324|32.634535|-86.143826
AL|01032|620L900US01032|State House District 32|670147745|23327949|258.746|9.007|33.526162|-86.113784
AL|01033|620L900US01033|State House District 33|2603433742|60159064|1005.191|23.228|33.043671|-86.253903
AL|01034|620L900US01034|State House District 34|1105895820|11776659|426.989|4.547|33.916075|-86.5972
AL|01035|620L900US01035|State House District 35|2079981252|11109560|803.085|4.289|33.339359|-85.902588
AL|01036|620L900US01036|State House District 36|576155400|41841367|222.455|16.155|33.710037|-85.874812
AL|01037|620L900US01037|State House District 37|2894981183|27347776|1117.759|10.559|33.106659|-85.438928
AL|01038|620L900US01038|State House District 38|904731734|12378516|349.319|4.779|32.689349|-85.245179
AL|01039|620L900US01039|State House District 39|2133804832|121081574|823.867|46.75|34.216973|-85.711684
AL|01040|620L900US01040|State House District 40|1882408824|6662045|726.802|2.572|33.698998|-85.572797
AL|01041|620L900US01041|State House District 41|1108004387|41268444|427.803|15.934|33.239334|-86.563215
AL|01042|620L900US01042|State House District 42|2049771685|20640971|791.421|7.97|32.784567|-86.671623
AL|01043|620L900US01043|State House District 43|133131709|3742316|51.402|1.445|33.360899|-86.738858
AL|01044|620L900US01044|State House District 44|218123624|3145816|84.218|1.215|33.663361|-86.593485
AL|01045|620L900US01045|State House District 45|405719013|9263386|156.649|3.577|33.458651|-86.578449
AL|01046|620L900US01046|State House District 46|53818511|238158|20.779|0.092|33.36897|-86.849752
AL|01047|620L900US01047|State House District 47|47013239|486757|18.152|0.188|33.415591|-86.798449
