USPS|GEOID|GEOIDFQ|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
AL|01001|610U900US01001|State Senate District 1|2640955466|171670468|1019.679|66.282|34.897169|-87.44539
AL|01002|610U900US01002|State Senate District 2|353315071|1820553|136.416|0.703|34.783262|-86.734871
AL|01003|610U900US01003|State Senate District 3|1864408504|107905987|719.852|41.663|34.487272|-86.866269
AL|01004|610U900US01004|State Senate District 4|5413309774|104558174|2090.091|40.37|34.128017|-87.360304
AL|01005|610U900US01005|State Senate District 5|7446295660|104774576|2875.031|40.454|33.683158|-87.598985
AL|01006|610U900US01006|State Senate District 6|5157732784|201320193|1991.412|77.73|34.563588|-87.615303
AL|01007|610U900US01007|State Senate District 7|671434392|2973880|259.242|1.148|34.815192|-86.601546
AL|01008|610U900US01008|State Senate District 8|4732114552|132776760|1827.08|51.265|34.719925|-85.9741
AL|01009|610U900US01009|State Senate District 9|2338896653|168180128|903.053|64.935|34.371216|-86.371411
AL|01010|610U900US01010|State Senate District 10|3495793207|156003484|1349.733|60.233|34.164059|-85.833464
AL|01011|610U900US01011|State Senate District 11|2466022997|108629766|952.137|41.942|33.436729|-86.367406
AL|01012|610U900US01012|State Senate District 12|2530771163|34118549|977.136|13.173|33.604999|-85.94175
AL|01013|610U900US01013|State Senate District 13|6774163731|46828749|2615.519|18.081|33.205368|-85.526068
AL|01014|610U900US01014|State Senate District 14|3022469478|30077384|1166.982|11.613|33.026341|-86.961188
AL|01015|610U900US01015|State Senate District 15|982477986|27855481|379.337|10.755|33.420576|-86.563097
AL|01016|610U900US01016|State Senate District 16|216768087|4210427|83.695|1.626|33.378612|-86.780518
AL|01017|610U900US01017|State Senate District 17|2600359004|34054833|1004.004|13.149|33.865666|-86.50732
AL|01018|610U900US01018|State Senate District 18|167424065|207182|64.643|0.08|33.48251|-86.824272
AL|01019|610U900US01019|State Senate District 19|798151881|5479542|308.168|2.116|33.437676|-87.006033
AL|01020|610U900US01020|State Senate District 20|360254925|857670|139.095|0.331|33.600151|-86.752236
AL|01021|610U900US01021|State Senate District 21|3476663062|39965280|1342.347|15.431|33.249272|-87.861292
AL|01022|610U900US01022|State Senate District 22|8429800470|152498439|3254.764|58.88|31.093649|-87.724078
AL|01023|610U900US01023|State Senate District 23|18631234649|192278906|7193.56|74.239|31.943334|-87.226722
AL|01024|610U900US01024|State Senate District 24|11163272006|140058647|4310.164|54.077|32.491039|-87.972395
AL|01025|610U900US01025|State Senate District 25|4262509199|104015683|1645.764|40.161|32.144092|-86.190083
AL|01026|610U900US01026|State Senate District 26|733846258|24874679|283.34|9.604|32.315116|-86.303098
AL|01027|610U900US01027|State Senate District 27|2832144582|97186346|1093.497|37.524|32.720653|-85.613536
AL|01028|610U900US01028|State Senate District 28|8420237808|98897979|3251.072|38.185|31.993932|-85.450209
AL|01029|610U900US01029|State Senate District 29|3399786228|16638442|1312.665|6.424|31.152774|-85.592659
AL|01030|610U900US01030|State Senate District 30|4662257674|130491929|1800.108|50.383|32.739219|-86.467846
AL|01031|610U900US01031|State Senate District 31|7022895811|43799745|2711.555|16.911|31.461601|-86.109675
AL|01032|610U900US01032|State Senate District 32|910611727|982054344|351.589|379.173|30.377369|-87.822414
AL|01033|610U900US01033|State Senate District 33|417612628|96250462|161.241|37.163|30.731454|-88.023262
AL|01034|610U900US01034|State Senate District 34|1935810567|35749456|747.421|13.803|30.917492|-88.219194
AL|01035|610U900US01035|State Senate District 35|854627542|981664933|329.974|379.023|30.405808|-88.202117
AK|0200A|610U900US0200A|State Senate District A|80742381183|39592292079|31174.809|15286.67|57.378398|-134.279042
AK|0200B|610U900US0200B|State Senate District B|17991301087|3762471815|6946.48|1452.699|58.67459|-134.955862
AK|0200C|610U900US0200C|State Senate District C|42144457148|30766064338|16272.067|11878.844|60.720017|-146.726113
AK|0200D|610U900US0200D|State Senate District D|11029968413|2641988355|4258.695|1020.077|60.525115|-150.112563
AK|0200E|610U900US0200E|State Senate District E|1638689127|222099272|632.701|85.753|60.972565|-149.084716
AK|0200F|610U900US0200F|State Senate District F|56703995|55486|21.894|0.021|61.141442|-149.764215
