OID_CD119_20|GEOID_CD119_20|NAMELSAD_CD119_20|AREALAND_CD119_20|AREAWATER_CD119_20|MTFCC_CD119_20|FUNCSTAT_CD119_20|OID_PLACE_20|GEOID_PLACE_20|NAMELSAD_PLACE_20|AREALAND_PLACE_20|AREAWATER_PLACE_20|MTFCC_PLACE_20|CLASSFP_PLACE_20|FUNCSTAT_PLACE_20|AREALAND_PART|AREAWATER_PART
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|||||||||16225318369|1720666380
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890342744978|0100124|Abbeville city|40255362|107642|G4110|C1|A|40255362|107642
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890107524816|0101708|Andalusia city|50911852|405912|G4110|C1|A|50911852|405912
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890355347451|0102428|Ariton town|13182489|0|G4110|C1|A|13182489|0
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890651832903|0102836|Ashford town|16064130|56699|G4110|C1|A|16064130|56699
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890112132400|0103004|Atmore city|56622375|194415|G4110|C1|A|56622375|194415
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890651832904|0103364|Avon town|6120731|16998|G4110|C1|A|6120731|16998
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|280903942393531|0103508|Axis CDP|9050926|25663|G4210|U1|S|9050926|25663
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890107524817|0103556|Babbie town|29709390|302262|G4110|C1|A|29709390|302262
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890114112829|0104660|Bay Minette city|44707878|198121|G4110|C1|A|44707878|198121
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890543360144|0104684|Bayou La Batre city|19398410|369464|G4110|C1|A|19398410|369464
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|280903942394213|0105212|Belle Fontaine CDP|4022920|939300|G4210|U2|S|4022920|939300
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890348402008|0107120|Black town|10498683|18883|G4110|C1|A|10498683|18883
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|280905321430044|0108272|Bon Secour CDP|11190200|859585|G4210|U1|S|11190200|859585
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890112132401|0109208|Brewton city|29257480|612453|G4110|C1|A|29257480|612453
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|280903942393566|0110456|Bucks CDP|1003273|92976|G4210|U1|S|1003273|92976
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|280903942393631|0111488|Calvert CDP|6056150|48801|G4210|U1|S|1969912|26935
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890107524818|0112160|Carolina town|2871453|20504|G4110|C1|A|2871453|20504
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890355347452|0115304|Clayhatchee town|7039405|0|G4110|C1|A|7039405|0
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890348402010|0116240|Coffee Springs town|2030176|29256|G4110|C1|A|2030176|29256
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890651832905|0116744|Columbia town|10181708|170212|G4110|C1|A|10181708|170212
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890651832906|0117824|Cottonwood town|14974557|58453|G4110|C1|A|14974557|58453
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890651832907|0118088|Cowarts town|19823700|165559|G4110|C1|A|19823700|165559
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890543360147|0118304|Creola city|40615427|2516364|G4110|C1|A|40615427|2516364
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890355347453|0119360|Daleville city|36631440|0|G4110|C1|A|36631440|0
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890114112830|0119648|Daphne city|49212741|306666|G4110|C1|A|49212741|306666
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890543360148|0119744|Dauphin Island town|16204179|413605156|G4110|C1|A|16204179|413605156
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890342744979|0121184|Dothan city|232650562|844856|G4110|C1|A|232650562|844856
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890112132402|0122216|East Brewton city|8826253|91015|G4110|C1|A|8826253|91015
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890352993223|0123296|Elba city|39725068|207250|G4110|C1|A|39725068|207250
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890114112831|0123320|Elberta town|18070993|261886|G4110|C1|A|18070993|261886
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890352993224|0124184|Enterprise city|80180731|174204|G4110|C1|A|80180731|174204
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|280903942394338|0124616|Eunola CDP|4728506|37294|G4210|U1|S|4728506|37294
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|27890114112832|0125240|Fairhope city|37491208|144549|G4110|C1|A|37491208|144549
