01000022608519U    108940512024R
01000022608529U      9550152024R
01000022608539U      6083302024R
01000022608549U    108929562024R
01000022608561V       915062024R
01000022608564V      1010732024R
010000226085A16      6804872024R
010000226085A18     23673282024R
010000226085A21       297482024R
010000226085A36     44577332024R
010000226085A44        11462024R
010000226085A50       464312024R
010000226085A59       109262024R
010000226085A60         5802024R
010000226085A61       592002024R
010000226085A81        90272024R
010000226085A87      1966342024R
010000226085A89      1414522024R
010000226085A90      5303872024R
010000226085B01       461502024R
010000226085B21     38100722024R
010000226085B22       586612024R
010000226085B30       935442024R
010000226085B42      5683992024R
010000226085B46     11600502024R
010000226085B50       432572024R
010000226085B59      1358202024R
010000226085B79    102852942024R
010000226085B80         4972024R
010000226085B89      7419912024R
010000226085D21       245012024R
010000226085D42       633602024R
010000226085D46       263632024R
010000226085D79       146472024R
010000226085D89       955812024R
010000226085E01         8032024R
010000226085E04      7745362024R
010000226085E05      1036392024R
010000226085E16      8263022024R
010000226085E18     59763962024R
010000226085E21      5584552024R
010000226085E22      1167372024R
010000226085E23      5967242024R
010000226085E25      3587302024R
010000226085E27       797372024R
010000226085E29      1076112024R
010000226085E32      5385762024R
010000226085E36     43728262024R
010000226085E44      6822982024R
010000226085E50       470682024R
010000226085E52        91132024R
010000226085E59      2481182024R
010000226085E61       467882024R
010000226085E62      2401192024R
010000226085E66      1402912024R
010000226085E77       800242024R
010000226085E79     96544602024R
010000226085E85       110952024R
010000226085E87      1285982024R
010000226085E89      7147132024R
010000226085E90      6565692024R
010000226085E91          952024R
010000226085F01          102024R
010000226085F04       334552024R
010000226085F05         8192024R
010000226085F16      1375002024R
010000226085F18     13557412024R
010000226085F21       185102024R
010000226085F22         9312024R
010000226085F23        26122024R
010000226085F25        18252024R
010000226085F27        80562024R
010000226085F29       366352024R
010000226085F31        76862024R
010000226085F32       318842024R
010000226085F36      2668392024R
010000226085F44     12924282024R
010000226085F50         2642024R
010000226085F52         2012024R
010000226085F59       175812024R
010000226085F61       330922024R
010000226085F66        13672024R
010000226085F77        12862024R
010000226085F79        21222024R
010000226085F85        16652024R
010000226085F87       784432024R
010000226085F89        79372024R
010000226085I89      3271722024R
010000226085J19     11303132024R
010000226085M01       439942024R
010000226085M04       288702024R
010000226085M05        27312024R
010000226085M21      2095202024R
010000226085M25        32122024R
010000226085M27      1313352024R
010000226085M30      4757502024R
010000226085M32      3101962024R
010000226085M36     10028132024R
010000226085M44      1898562024R
010000226085M50       373882024R
010000226085M52        79512024R
010000226085M59       507602024R
010000226085M61       129232024R
010000226085M62       106962024R
010000226085M66      1732902024R
010000226085M79      2058292024R
010000226085M89      8473332024R
010000226085Q12     89772142024R
010000226085T01      6206982024R
010000226085T09     45921312024R
010000226085T10      2835502024R
010000226085T12      6128352024R
010000226085T13      9716672024R
010000226085T15      7727592024R
010000226085T16      1318092024R
010000226085T19      7048452024R
010000226085T20        46072024R
010000226085T22      2190002024R
010000226085T23       254152024R
010000226085T24      2298892024R
010000226085T25       478652024R
010000226085T27       146942024R
010000226085T28       710692024R
010000226085T29           12024R
010000226085T40     52814132024R
010000226085T41     21817962024R
010000226085T51       546612024R
010000226085T53       383372024R
010000226085U20     11247032024R
010000226085U30      1481272024R
010000226085U41       371252024R
010000226085U50      4238002024R
010000226085U99     10748552024R
010000226085Y01      1284932024R
010000226085Y02       275522024R
010000226085Y05       656232024R
010000226085Y06         2862024R
010000226085Y07     10726202024R
010000226085Y08     10726202024R
01100110000119U        94062024I
01100110000139U        12202024I
01100110000149U        81862024I
011001100001B89        40372024I
011001100001C89        47562024I
011001100001D89        63502024I
011001100001E04        27702024I
011001100001E29        84032024I
011001100001E31         3142024I
011001100001E44        47872024I
011001100001E52         2252024I
011001100001E61         5592024I
011001100001E62        60492024I
011001100001E89         6022024I
011001100001E94         5952024I
011001100001I89         2242024I
011001100001T01        75502024I
011001100001T09        29582024I
011001100001T10         2202024I
011001100001T19        16892024I
011001100001U11         5442024I
011001100001U20         1152024I
011001100001U50          892024I
011001100001U99          142024I
01100316051419U       398722024I
01100316051439U       350042024I
01100316051449U        48672024R
011003160514A81       306662024I
011003160514A89         1742024R
011003160514B89         7832024I
011003160514C89       273892024I
011003160514D89          752024R
011003160514E04       169162024I
011003160514E05          222024I
011003160514E23        51682024I
011003160514E25        59042024I
011003160514E29       227352024I
011003160514E31        69362024I
011003160514E32        45682024I
011003160514E44       288712024I
011003160514E50        23762024I
011003160514E52         1102024I
011003160514E61        85032024I
011003160514E62       205432024I
011003160514E66        11052024I
011003160514E79         6962024I
011003160514E81       178852024I
011003160514E89       183322024I
011003160514F81        22532024I
011003160514F89          652024R
011003160514I89        31112024I
011003160514T01       538692024I
011003160514T09       335832024I
011003160514T13       112122024I
011003160514T19        13662024I
011003160514T29        11452024I
011003160514U11        25522024I
011003160514U20         3282024I
011003160514U99       400722024I
01100518954119U         6092024I
01100518954139U         6092024I
011005189541A81         4942024I
011005189541B89         2832024I
011005189541C89        33822024I
011005189541E04         1172024I
011005189541E23         5452024I
011005189541E25         5522024I
011005189541E32           42024I
011005189541E44        22282024I
011005189541E62        26962024I
011005189541E66         1402024I
011005189541E81        11642024I
011005189541E89        10162024I
011005189541F44        15662024I
011005189541I89          452024I
011005189541T01        31232024I
011005189541T09        13722024I
011005189541T10         1802024I
011005189541T13        24292024I
011005189541T16         1502024I
011005189541T20          122024I
011005189541T24         2952024I
011005189541T28         1282024I
011005189541T29         2722024I
011005189541T51         2602024I
011005189541U40         8382024I
011005189541U41          202024I
011005189541U50          152024I
011005189541U99         4272024I
01101310000219U        32782024I
01101310000239U         8772024I
01101310000249U        24012024I
011013100002A89        10892024I
011013100002C89        33102024I
011013100002D89         1232024R
011013100002E04         9732024I
011013100002E12         2032024I
011013100002E23         4102024I
011013100002E24          592024I
011013100002E25         6032024I
011013100002E29         3922024I
011013100002E31         3822024I
011013100002E32          342024I
011013100002E44        65612024I
011013100002E52          762024I
011013100002E59          182024I
011013100002E61          152024I
011013100002E62        10542024I
011013100002E79           82024I
011013100002E89        17422024I
011013100002F44         6802024I
011013100002F62          282024I
011013100002F89           42024R
011013100002I89         1262024I
011013100002T01        41112024I
011013100002T09        14882024I
011013100002T10          382024I
011013100002T20          162024I
011013100002T24          852024I
011013100002T28          252024I
011013100002T29         2292024I
011013100002T51          632024I
011013100002U11         9872024I
011013100002U20          322024I
011013100002U30           42024I
011013100002U50           12024I
01101512248519U        67292024R
01101512248539U        10982024R
01101512248549U        56312024R
011015122485A44         1382024R
011015122485A81        35532024R
011015122485A89        55322024R
011015122485B89        54202024R
011015122485C89       200752024R
011015122485E04        42382024R
011015122485E23        33512024R
011015122485E24        20342024R
011015122485E25        41332024R
011015122485E29        36872024R
011015122485E32         5382024R
011015122485E44        99042024R
011015122485E61         9752024R
011015122485E62       106792024R
011015122485E79         1262024R
011015122485E81        34072024R
011015122485E89         1642024R
011015122485F81          952024R
011015122485F89        44342024R
011015122485I89         1842024R
011015122485T01       152922024R
011015122485T09        55812024R
011015122485T19        13032024R
011015122485T29        23532024R
011015122485U11         4722024R
011015122485U20        44362024R
011015122485U50         1812024R
011015122485U99       113772024R
01101912248619U       143222024I
01101912248639U         7532024I
01101912248649U       135692024I
011019122486A89       191942024R
011019122486B89        13762024R
011019122486C89          742024R
011019122486D89        21242024I
011019122486E01          132024I
011019122486E04        26562024I
011019122486E23        19672024I
011019122486E25         6562024I
011019122486E29         2482024I
011019122486E44        53492024I
011019122486E52         2422024I
011019122486E59          132024I
011019122486E61         3152024I
011019122486E62        32522024I
011019122486E77       167402024R
011019122486E79         1922024I
011019122486F44         5202024I
011019122486I89         4882024I
011019122486T01        45232024I
011019122486T09        62902024I
011019122486T13        21642024I
011019122486T24         1252024I
011019122486T28          852024I
011019122486T29           32024I
011019122486U20           22024R
011019122486U30          462024I
011019122486U40          262024I
011019122486U99        26692024I
01102110000419U       101372024R
01102110000439U        38272024R
01102110000449U        63102024R
011021100004A61         3322024R
011021100004A94         3872024R
011021100004D89       128552024R
011021100004E01         1252024R
011021100004E04        21282024R
011021100004E05          132024R
011021100004E23         8372024R
011021100004E29         2892024R
011021100004E31        28882024R
011021100004E32         1722024R
011021100004E44       131822024R
011021100004E52          492024R
011021100004E61         4982024R
011021100004E62        37412024R
011021100004E77          512024R
011021100004E81         1522024R
011021100004E89        73002024R
011021100004E94         3842024R
011021100004F44         4762024R
011021100004I89         4052024I
011021100004T01        90892024R
011021100004T09        66582024R
011021100004T10         1742024R
011021100004T13        21462024R
011021100004T19        13752024R
011021100004T20          192024R
011021100004T29         1232024R
011021100004T53          262024R
01102512248819U        47352024I
01102512248839U         1952024I
01102512248849U        45402024I
011025122488A44          512024I
011025122488A89        39042024I
011025122488B89        16452024I
011025122488C89        68982024I
011025122488E04         9712024I
011025122488E23         8582024I
011025122488E24         4662024I
011025122488E25        10582024I
011025122488E29         9442024I
011025122488E32         1442024I
011025122488E44        31722024I
011025122488E61          142024I
011025122488E62        24462024I
011025122488E79          102024I
011025122488E81           82024I
011025122488E89          542024I
011025122488F89        12212024I
011025122488I89         1732024I
011025122488M89          402024I
011025122488T01        42052024I
011025122488T09        44802024I
011025122488T29         6282024I
011025122488U11        29812024I
011025122488U20         1142024I
011025122488U99        10562024I
01102716051719U        16132024I
01102716051739U         2842024I
01102716051749U        13292024I
011027160517A81           12024I
011027160517A89         3402024I
011027160517B89         2682024I
011027160517C89        33452024I
011027160517D89          722024I
011027160517E01           12024I
011027160517E04        10522024I
011027160517E23        16902024I
011027160517E25         4882024I
011027160517E29         1952024I
011027160517E31         2312024I
011027160517E44        16582024I
011027160517E59           82024I
011027160517E62        10352024I
011027160517E79          782024I
011027160517E81           62024I
011027160517E89         3542024I
011027160517E91         4302024I
011027160517F04         2262024I
011027160517F44          882024I
011027160517I89         1012024I
011027160517T01        23502024I
011027160517T09         4922024I
011027160517T16         1822024I
011027160517T19           52024I
011027160517T24         3062024I
011027160517T28          342024I
011027160517T29         2332024I
011027160517U11           72024I
011027160517U20          502024I
011027160517U30           12024I
011027160517U40          442024I
011027160517U41         4332024I
011027160517U99         2452024I
01103116051819U       175922024R
01103116051829U         9952024R
01103116051839U        30172024R
01103116051849U       155692024R
011031160518A81        92622024R
011031160518A89         1122024R
011031160518B89        44822024R
011031160518C89        14112024R
011031160518D89         5582024R
011031160518E23        52972024R
011031160518E44        28702024R
011031160518E62        74642024R
011031160518E79         6622024R
011031160518E81        91272024R
011031160518F44         5312024R
011031160518F62        10722024R
011031160518F81        27822024R
011031160518F89        30172024R
011031160518I89         4922024R
011031160518T01        69962024R
011031160518T09        31192024R
011031160518T13        41212024R
011031160518T24         3992024R
011031160518T29          482024R
011031160518T99         7122024R
011031160518U11         6612024R
011031160518U20         1362024R
011031160518U40          802024R
011031160518U99        28342024R
01103321196819U        44142024I
01103321196839U         5172024I
01103321196849U        38972024I
011033211968A44        10182024I
011033211968A61         2952024I
011033211968A81        27632024I
011033211968A89        27982024I
011033211968A91        16572024I
011033211968C89        87862024I
011033211968D89         3472024R
011033211968E04        32332024I
011033211968E23        12242024I
011033211968E25        12042024I
011033211968E29        23102024I
011033211968E31        15072024I
011033211968E32         2502024I
011033211968E44        72112024I
011033211968E61         3152024I
011033211968E62        32332024I
011033211968E79         5442024I
011033211968E81        24772024I
011033211968E89        14112024R
011033211968E91        33432024I
011033211968F44         3822024I
011033211968F81         1152024I
011033211968F89         4842024I
011033211968I89          832024I
011033211968T01        83502024I
011033211968T29         2812024I
011033211968T99         7782024I
011033211968U11         5132024I
011033211968U20          842024I
011033211968U99        22622024I
01104312249019U       130382024R
01104312249029U       138552024R
01104312249039U        49292024R
01104312249049U       219642024R
011043122490A61        14822024R
011043122490A81        86062024R
011043122490A91       166172024R
011043122490A94          532024R
011043122490C89         5092024R
011043122490E04        53672024R
011043122490E23        14242024R
011043122490E24         1022024R
011043122490E25        16172024R
011043122490E29         2042024R
011043122490E31        16702024R
011043122490E32         7102024R
011043122490E44       252302024R
011043122490E52         4232024R
011043122490E61        75262024R
011043122490E62       121052024R
011043122490E81        91812024R
011043122490E91       143812024R
011043122490F31        11382024R
011043122490F44        81092024R
011043122490F81         3442024R
011043122490I89         5222024I
011043122490M89         1772024R
011043122490T01       144002024R
011043122490T09       201872024R
011043122490T10          182024R
011043122490T13          262024R
011043122490T16          392024R
011043122490U11         1302024R
011043122490U20         1732024R
011043122490U30          922024R
011043122490U40         2462024R
011043122490U50          592024R
011043122490U99         2302024R
011047160521T01         2752024R
011047160521T09        36622024R
011047160521T10         2522024R
011047160521T13        36472024R
011047160521T21           42024R
011047160521T24           12024R
011047160521T29          402024R
01104920749919U       355152024R
01104920749929U        70272024R
01104920749939U        49132024R
01104920749949U       376292024R
01104920749961V        19042024R
01104920749964V        19492024R
011049207499B89        52282024R
011049207499C89       112042024R
011049207499D89         7412024R
011049207499E04        36362024R
011049207499E23        20732024R
011049207499E29        23182024R
011049207499E31        14622024R
011049207499E32         4902024R
011049207499E44        52082024R
011049207499E52         1732024R
011049207499E61         2282024R
011049207499E62        48042024R
011049207499E77         6552024R
011049207499E89        38352024R
011049207499F44        65762024R
011049207499F62         8962024R
011049207499I89        14202024I
011049207499T01        72882024R
011049207499T09        26562024R
011049207499T10           72024R
011049207499T13        10902024R
011049207499T16         3662024R
011049207499T28          422024R
011049207499T29          182024R
011049207499T99         2452024R
011049207499U11        61892024R
011049207499U20         2942024R
011049207499U30          932024R
011049207499U40         1342024R
011049207499U50          112024R
011049207499U99         3092024R
01105116052219U       728482024R
01105116052229U        14822024R
01105116052239U        38172024R
01105116052249U       705132024R
01105116052261V        29262024R
01105116052264V        14562024R
011051160522B89        14622024R
011051160522C89        15572024R
011051160522D89        11872024R
011051160522E04        31422024R
011051160522E23        48232024R
011051160522E24          622024R
011051160522E25        10532024R
011051160522E29        13072024R
011051160522E31        21012024R
011051160522E32           82024R
011051160522E44       102002024R
011051160522E52           52024R
011051160522E61         5502024R
011051160522E62        93202024R
011051160522E77          952024R
011051160522E89        23122024R
011051160522F23           62024R
011051160522F31          152024R
011051160522F44        28232024R
011051160522F61       137352024R
011051160522F62         8362024R
011051160522F89          932024R
011051160522I89        14692024R
011051160522I92        23302024R
011051160522T01       111372024R
011051160522T09        17502024R
011051160522T10         2562024R
011051160522T13        38492024R
011051160522T15         4352024R
011051160522T19        40002024R
011051160522T20          282024R
011051160522T24        17402024R
011051160522T28         6442024R
011051160522T29          282024R
011051160522T53         1552024R
011051160522U11        19702024R
011051160522U20        12642024R
011051160522U30         8052024R
011051160522U40           82024R
011051160522U50        11872024R
011051160522U99        25202024R
01105512249119U       230242024I
01105512249139U        21512024I
01105512249149U       208732024I
011055122491A44        15682024I
011055122491A89       107922024I
011055122491B89        44922024I
011055122491C89       152222024I
011055122491D89        36302024R
011055122491E04        55482024I
011055122491E23        30632024I
011055122491E24        26632024I
011055122491E25        37782024I
011055122491E29        33692024I
011055122491E32         3692024I
011055122491E44        81242024I
011055122491E61          292024I
011055122491E62       139802024I
011055122491E79         7452024I
011055122491E89        38672024R
011055122491F89        60572024I
011055122491I89         7612024I
011055122491T01       144092024I
011055122491T09        55222024I
011055122491T19         5342024I
011055122491T99         4412024I
011055122491U11        25282024I
011055122491U20         1102024R
011055122491U99         7652024I
011057194424A03           22024R
011057194424A91           32024R
011057194424A92          182024R
011057194424A93           12024R
011057194424E25          132024R
011057194424E29          192024R
011057194424E62          692024R
011057194424T13          162024R
01106118367019U        20102024I
01106118367049U        20102024I
011061183670A89        11282024I
011061183670C89        10112024I
011061183670D89         5282024I
011061183670E44        63242024I
011061183670E52           32024I
011061183670E62        27852024I
011061183670E81        13112024I
011061183670E89        24832024I
011061183670I89          482024I
011061183670T01        79562024I
011061183670T24          672024I
01106516052519U        10782024R
01106516052539U         2152024R
01106516052549U         8632024R
011065160525A81         9652024R
011065160525C89        17882024R
011065160525D89         8862024R
011065160525E04        13572024R
011065160525E23         4202024R
011065160525E24         3972024R
011065160525E25          412024R
011065160525E29         3672024R
011065160525E31         4602024R
011065160525E32          532024R
011065160525E44        30452024R
011065160525E52          142024R
011065160525E62        26662024R
011065160525E81         7612024R
011065160525E89         7212024R
011065160525F89         7212024R
011065160525I89          492024R
011065160525T01        24242024R
011065160525T09         5002024R
011065160525T10         1822024R
011065160525T13        26362024R
011065160525T16          882024R
011065160525T53          132024R
011065160525T99          382024R
011065160525U20          202024R
011065160525U40          952024R
011065160525U50          542024R
011065160525U99         1002024R
01106912249219U       176942024R
01106912249239U        21102024R
01106912249249U       155842024R
01106912249264V        41592024R
011069122492A91       102222024R
011069122492D89       118302024R
011069122492E04        63832024S
011069122492E05        18122024S
011069122492E23         7282024S
011069122492E24         3502024S
011069122492E25        21212024S
011069122492E29        14032024S
011069122492E31        45092024S
011069122492E32        10502024R
011069122492E44       160362024R
