state	office_family	fact_field	status	value	authority_url	authority_type	legal_locator	paraphrase	effective_date	direct_derived	derivation_chain	review_required	notes
NM	governor	office_existence	KNOWN	EXISTS	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Executive department consists of governor, lieutenant governor, secretary of state, state auditor, state treasurer, attorney general, and commissioner of public lands	1912-01-06	DIRECT	none	false	none
NM	governor	selection_type	KNOWN	ELECTED_GENERAL	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Elected at general election on joint ticket with lieutenant governor	1912-01-06	DIRECT	none	false	Joint ticket with Lt Gov
NM	governor	term_length_years	KNOWN	4	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Holds office for four years beginning January 1 next after election	1912-01-06	DIRECT	none	false	none
NM	governor	term_limit	KNOWN	2_CONSECUTIVE	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	No person shall be eligible to hold any executive office for more than two consecutive terms; ineligible until full term has intervened	1912-01-06	DIRECT	none	false	Must sit out one full 4-year term
NM	governor	min_age	KNOWN	30	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Must be at least thirty years of age	1912-01-06	DIRECT	none	false	none
NM	governor	us_citizenship	KNOWN	CITIZEN_REQUIRED	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Must be a citizen of the United States	1912-01-06	DIRECT	none	false	No explicit duration stated
NM	governor	state_residence_years	KNOWN	5	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Must have resided continuously in New Mexico for five years next preceding election	1912-01-06	DIRECT	none	false	none
NM	governor	district_residence	NOT_APPLICABLE	null	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Statewide executive office	1912-01-06	DIRECT	none	false	none
NM	governor	elector_required	KNOWN	true	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. VII, § 2	Every citizen of the US who is a qualified elector is qualified to hold any public office	1912-01-06	DERIVED	N.M. Const. art. VII, § 2 elector requirements	false	General qualification for civil office
NM	governor	professional_qualification	NOT_APPLICABLE	null	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	No bar or professional license required for governor	1912-01-06	DIRECT	none	false	none
NM	lt_governor	office_existence	KNOWN	EXISTS	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Member of executive department, acts as governor in vacancy	1912-01-06	DIRECT	none	false	none
NM	lt_governor	selection_type	KNOWN	ELECTED_GENERAL_JOINT	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Elected jointly with governor by casting of single vote	1912-01-06	DIRECT	none	false	Joint ticket
NM	lt_governor	term_length_years	KNOWN	4	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Serves four-year term concurrent with governor	1912-01-06	DIRECT	none	false	none
NM	lt_governor	term_limit	KNOWN	2_CONSECUTIVE	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Max two consecutive terms, one full term reset	1912-01-06	DIRECT	none	false	none
NM	lt_governor	min_age	KNOWN	30	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Same qualifications as governor: at least thirty years of age	1912-01-06	DIRECT	none	false	none
NM	lt_governor	us_citizenship	KNOWN	CITIZEN_REQUIRED	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Citizen of the United States	1912-01-06	DIRECT	none	false	none
NM	lt_governor	state_residence_years	KNOWN	5	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Continuous resident of New Mexico for five years next preceding election	1912-01-06	DIRECT	none	false	Exempt from seat-of-government residency in Art V Sec 1
NM	lt_governor	district_residence	NOT_APPLICABLE	null	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Statewide office	1912-01-06	DIRECT	none	false	none
NM	lt_governor	elector_required	KNOWN	true	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. VII, § 2	Qualified elector under general constitutional rule	1912-01-06	DERIVED	N.M. Const. art. VII, § 2	false	none
NM	lt_governor	professional_qualification	NOT_APPLICABLE	null	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	No bar or professional license required	1912-01-06	DIRECT	none	false	none
NM	attorney_general	office_existence	KNOWN	EXISTS	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Executive department officer	1912-01-06	DIRECT	none	false	none
NM	attorney_general	selection_type	KNOWN	ELECTED_GENERAL	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Elected statewide at general election	1912-01-06	DIRECT	none	false	none
NM	attorney_general	term_length_years	KNOWN	4	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Serves four-year term	1912-01-06	DIRECT	none	false	none
NM	attorney_general	term_limit	KNOWN	2_CONSECUTIVE	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Max two consecutive terms, one full term reset	1912-01-06	DIRECT	none	false	none
NM	attorney_general	min_age	KNOWN	30	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	At least thirty years of age	1912-01-06	DIRECT	none	false	none
NM	attorney_general	us_citizenship	KNOWN	CITIZEN_REQUIRED	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Citizen of the United States	1912-01-06	DIRECT	none	false	none
NM	attorney_general	state_residence_years	KNOWN	5	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Continuous resident of New Mexico for five years next preceding election	1912-01-06	DIRECT	none	false	Must reside at seat of government (Santa Fe) during term
NM	attorney_general	district_residence	NOT_APPLICABLE	null	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Statewide office	1912-01-06	DIRECT	none	false	none
NM	attorney_general	elector_required	KNOWN	true	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. VII, § 2	Qualified elector	1912-01-06	DERIVED	N.M. Const. art. VII, § 2	false	none
NM	attorney_general	professional_qualification	KNOWN	BAR_ADMISSION	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Licensed attorney of the supreme court of New Mexico in good standing	1912-01-06	DIRECT	none	false	Mandatory bar admission
NM	secretary_of_state	office_existence	KNOWN	EXISTS	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Executive department officer	1912-01-06	DIRECT	none	false	none
NM	secretary_of_state	selection_type	KNOWN	ELECTED_GENERAL	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Elected statewide at general election	1912-01-06	DIRECT	none	false	none
NM	secretary_of_state	term_length_years	KNOWN	4	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Serves four-year term	1912-01-06	DIRECT	none	false	none
NM	secretary_of_state	term_limit	KNOWN	2_CONSECUTIVE	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 1	Max two consecutive terms, one full term reset	1912-01-06	DIRECT	none	false	none
NM	secretary_of_state	min_age	KNOWN	30	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	At least thirty years of age	1912-01-06	DIRECT	none	false	none
NM	secretary_of_state	us_citizenship	KNOWN	CITIZEN_REQUIRED	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Citizen of the United States	1912-01-06	DIRECT	none	false	none
NM	secretary_of_state	state_residence_years	KNOWN	5	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Continuous resident of New Mexico for five years next preceding election	1912-01-06	DIRECT	none	false	Must reside at seat of government
NM	secretary_of_state	district_residence	NOT_APPLICABLE	null	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	Statewide office	1912-01-06	DIRECT	none	false	none
NM	secretary_of_state	elector_required	KNOWN	true	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. VII, § 2	Qualified elector	1912-01-06	DERIVED	N.M. Const. art. VII, § 2	false	none
NM	secretary_of_state	professional_qualification	NOT_APPLICABLE	null	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. V, § 3	No bar or professional license required	1912-01-06	DIRECT	none	false	none
NM	lower_legislator	office_existence	KNOWN	EXISTS	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. IV, § 1	House of Representatives	1912-01-06	DIRECT	none	false	70 members
NM	lower_legislator	selection_type	KNOWN	ELECTED_GENERAL	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. IV, § 4	Elected by qualified electors of legislative district	1912-01-06	DIRECT	none	false	none
NM	lower_legislator	term_length_years	KNOWN	2	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. IV, § 4	Elected for terms of two years	1912-01-06	DIRECT	none	false	none
NM	lower_legislator	term_limit	NO_REQUIREMENT_FOUND	null	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. IV	No term limit provisions for state legislators	1912-01-06	DIRECT	none	false	No legislative term limits
NM	lower_legislator	min_age	KNOWN	21	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. IV, § 3	Must be at least twenty-one years of age at the time of election	1912-01-06	DIRECT	none	false	none
NM	lower_legislator	us_citizenship	KNOWN	CITIZEN_REQUIRED	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. VII, § 2	Must be qualified elector (US citizen)	1912-01-06	DERIVED	N.M. Const. art. VII, § 2	false	Derived from qualified elector status
NM	lower_legislator	state_residence_years	NO_REQUIREMENT_FOUND	null	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. IV, § 3	No explicit state residency duration separate from district residency	1912-01-06	DIRECT	none	false	Disproves 1-year fallback
NM	lower_legislator	district_residence	KNOWN	RESIDENCE_AT_ELECTION	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. IV, § 3	Must reside in district; permanent removal from district is deemed resignation	1912-01-06	DIRECT	none	false	Deemed resignation upon move
NM	lower_legislator	elector_required	KNOWN	true	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. VII, § 2	Qualified elector in the district	1912-01-06	DERIVED	N.M. Const. art. VII, § 2	false	none
NM	lower_legislator	professional_qualification	NOT_APPLICABLE	null	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. IV, § 3	No professional qualification	1912-01-06	DIRECT	none	false	none
NM	upper_legislator	office_existence	KNOWN	EXISTS	https://laws.nmonesource.com/	State Constitution	N.M. Const. art. IV, § 1	Senate of the State of New Mexico	1912-01-06	DIRECT	none	false	42 members
