municipio_geoid5,state_fips,municipio_county_fips,name,population_2025_07_01,geography_type,population_source_url,geocode_source_url
72001,72,001,Adjuntas,17994,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72003,72,003,Aguada,37319,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72005,72,005,Aguadilla,53219,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72007,72,007,Aguas Buenas,22838,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72009,72,009,Aibonito,24746,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72011,72,011,Añasco,24449,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72013,72,013,Arecibo,85539,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72015,72,015,Arroyo,14744,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72017,72,017,Barceloneta,22316,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72019,72,019,Barranquitas,29509,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72021,72,021,Bayamón,180562,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72023,72,023,Cabo Rojo,46580,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72025,72,025,Caguas,124161,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72027,72,027,Camuy,32691,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72029,72,029,Canóvanas,41302,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72031,72,031,Carolina,149874,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72033,72,033,Cataño,21701,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72035,72,035,Cayey,40027,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72037,72,037,Ceiba,10559,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72039,72,039,Ciales,16652,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72041,72,041,Cidra,39669,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72043,72,043,Coamo,33076,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72045,72,045,Comerío,18445,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72047,72,047,Corozal,34531,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72049,72,049,Culebra,1735,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72051,72,051,Dorado,35891,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72053,72,053,Fajardo,30780,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72054,72,054,Florida,11371,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72055,72,055,Guánica,11840,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72057,72,057,Guayama,34043,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72059,72,059,Guayanilla,16489,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72061,72,061,Guaynabo,89055,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72063,72,063,Gurabo,39780,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72065,72,065,Hatillo,37810,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72067,72,067,Hormigueros,15222,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72069,72,069,Humacao,49249,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72071,72,071,Isabela,42938,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72073,72,073,Jayuya,14423,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72075,72,075,Juana Díaz,45853,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72077,72,077,Juncos,36639,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72079,72,079,Lajas,22784,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72081,72,081,Lares,27744,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72083,72,083,Las Marías,8638,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72085,72,085,Las Piedras,34723,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72087,72,087,Loíza,21542,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72089,72,089,Luquillo,17190,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72091,72,091,Manatí,38413,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72093,72,093,Maricao,4336,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72095,72,095,Maunabo,10120,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72097,72,097,Mayagüez,68905,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72099,72,099,Moca,37562,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72101,72,101,Morovis,28170,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72103,72,103,Naguabo,22666,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72105,72,105,Naranjito,29627,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72107,72,107,Orocovis,21329,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72109,72,109,Patillas,15077,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72111,72,111,Peñuelas,19325,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72113,72,113,Ponce,128384,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72115,72,115,Quebradillas,23189,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72117,72,117,Rincón,15582,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72119,72,119,Río Grande,44799,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
